dataset,model,layer,method,value,speaker
timit,hubert-large-en,16,km_32_mi,0.2748166514625705,True
timit,hubert-large-en,16,km_64_mi,0.551204323757526,True
timit,hubert-large-en,16,km_128_mi,0.9666212781213549,True
timit,hubert-large-en,16,km_256_mi,1.4853367249319045,True
timit,hubert-large-en,16,km_512_mi,2.0672786546361577,True
timit,hubert-large-en,16,km_1024_mi,2.6318908134465446,True
timit,hubert-large-en,16,entropy,6.438161419540647,True
timit,hubert-large-en,16,clf_mi,4.27210511310617,True
timit,hubert-large-en,16,km_2_mi,0.38475005685128216,False
timit,hubert-large-en,16,km_4_mi,0.6996878487501452,False
timit,hubert-large-en,16,km_8_mi,0.918555613844567,False
timit,hubert-large-en,16,km_16_mi,1.2861173380280717,False
timit,hubert-large-en,16,km_32_mi,1.5490959249061407,False
timit,hubert-large-en,16,km_64_mi,2.0032414333264272,False
timit,hubert-large-en,16,km_128_mi,2.345616275833917,False
timit,hubert-large-en,16,km_256_mi,2.5788803228485557,False
timit,hubert-large-en,16,km_512_mi,2.758704920403085,False
timit,hubert-large-en,16,km_1024_mi,2.898543507424156,False
timit,hubert-large-en,16,entropy,3.3947674978523117,False
timit,hubert-large-en,16,clf_mi,3.1041006712234647,False
timit,hubert-large-en,17,km_2_mi,0.009579570511034441,True
timit,hubert-large-en,17,km_4_mi,0.026142035473361677,True
timit,hubert-large-en,17,km_8_mi,0.059682874992749164,True
timit,hubert-large-en,17,km_16_mi,0.12973549748326912,True
timit,hubert-large-en,17,km_32_mi,0.27026856252049397,True
timit,hubert-large-en,17,km_64_mi,0.5515432348941347,True
timit,hubert-large-en,17,km_128_mi,0.9426249928667718,True
timit,hubert-large-en,17,km_256_mi,1.4758577383644036,True
timit,hubert-large-en,17,km_512_mi,2.0344606763915154,True
timit,hubert-large-en,17,km_1024_mi,2.5957521443531224,True
timit,hubert-large-en,17,entropy,6.438161419540647,True
timit,hubert-large-en,17,clf_mi,4.0319337125636,True
timit,hubert-large-en,17,km_2_mi,0.37074437747439143,False
